"","bat_ID","birthdate","capture.site","sex"
"1","bella","11/1/04","zoo","female"
"2","lucy","7/15/06","zoo","female"
"3","vampirella","5/1/08","zoo","female"
"4","veronica","7/15/06","zoo","female"
"5","cerceson","5/24/12","zoo","male"
"6","cerce","2/14/01","zoo","female"
"7","lily","9/23/11","zoo","female"
"8","flapper","5/9/11","zoo","male"
"9","sheldon","12/11/12","zoo","male"
"10","speedster","5/10/11","zoo","male"
"11","thecount","5/1/08","zoo","male"
"12","vampison","11/21/12","zoo","male"
"13","zaria","5/30/12","zoo","female"
"14","bat2","6/7/00","zoo","female"
"15","bat3","5/27/02","zoo","female"
"16","bat4","4/1/07","zoo","female"
"17","gremlin",NA,"zoo","male"
"18","marce","4/13/13","zoo","female"
"19","snow","5/31/13","zoo","female"
"20","houdini",NA,"zoo","male"
"21","lucyson","6/28/13","zoo","male"
"22","lilyson","1/31/14","zoo","male"
"23","sonofzaria","9/2/14","zoo","male"
"24","streblick","6/8/08","zoo","male"
"25","vlad","6/1/09","zoo","male"
"26","bat1",NA,"zoo","female"
"27","bat5",NA,"zoo","male"
"28","bat6",NA,"zoo","female"
"29","bat7",NA,"zoo","female"
"30","eve",NA,"las.pavas","female"
"31","ola",NA,"las.pavas","female"
"32","ivy",NA,"las.pavas","female"
"33","cat",NA,"las.pavas","female"
"34","six",NA,"las.pavas","female"
"35","ccc",NA,"tole","female"
"36","ddld","7/20/16","captive","female"
"37","son-of-ola","6/28/16","captive","male"
"38","lds","4/15/16","captive","female"
"39","lsd","4/15/16","captive","female"
"40","r",NA,"tole","female"
"41","rc",NA,"tole","female"
"42","scs",NA,"tole","female"
"43","cc",NA,"tole","female"
"44","ccs",NA,"tole","female"
"45","cd",NA,"tole","female"
"46","c",NA,"tole","female"
"47","csc",NA,"tole","female"
"48","dcd",NA,"tole","female"
"49","dd",NA,"tole","female"
"50","d",NA,"tole","female"
"51","ds",NA,"tole","female"
"52","hilga","2/5/16","captive","female"
"53","ldc","3/6/16","captive","male"
"54","cs",NA,"tole","female"
"55","scc",NA,"tole","female"
"56","sc",NA,"tole","female"
"57","sd",NA,"tole","female"
"58","s",NA,"tole","female"
"59","ss",NA,"tole","female"
"60","sss","2/15/16","captive","female"
"61","falcon",NA,"tole","male"
"62","hulk",NA,"tole","male"
"63","spiderman",NA,"tole","male"
"64","war-machine",NA,"tole","male"
"65","captain-america",NA,"tole","male"
"66","jenna-bat",NA,"gamboa","male"
"67","black-panther",NA,"tole","male"
"68","daredevil",NA,"tole","male"
"69","dr","7/3/16","captive","female"
"70","sam1",NA,"chilibre","female"
"71","sam5",NA,"chilibre",NA
"72","sam6",NA,"chilibre",NA
"73","sam7",NA,"chilibre","male"
"74","no-band","11/22/16","captive","female"
"75","fran",NA,"tole","female"
"76","rina",NA,"chorrera","female"
"77","esther",NA,"tole","female"
"78","shania",NA,"lake.bayano","female"
"79","zelda",NA,"chorrera","female"
"80","hera",NA,"tole","female"
"81","queen",NA,"lake.bayano","female"
"82","winona",NA,"chorrera","female"
"83","alicia",NA,"chorrera","female"
"84","gayle",NA,"tole","female"
"85","irma",NA,"lake.bayano","female"
"86","kelly",NA,"lake.bayano","female"
"87","mabel",NA,"tole","female"
"88","opal",NA,"chorrera","female"
"89","betty",NA,"tole","female"
"90","jupiter",NA,"lake.bayano","female"
"91","vixen",NA,"chorrera","female"
"92","cindy",NA,"tole","female"
"93","piper",NA,"chorrera","female"
"94","tiffany",NA,"lake.bayano","female"
