"","LD1","LD2","LD3","LD4","LD5","LD6","LD7"
"entropy",-86.3354750609882,33.5283597507242,51.5664962387501,-48.992214748913,-10.6702863805016,61.0405079468029,39.256344066551
"time.ent",76.219356788393,-31.3816423302381,-38.3494244346469,40.7119809913931,-6.29646955202117,-64.7085804314768,-31.9976958447255
"sp.ent",42.6282054173921,-26.5515858746833,-13.6623563155125,45.5731214176999,27.8061997296788,-61.17548444838,-14.6334747980981
"sfm",19.1728887174312,0.83705320665157,-0.296306249341976,3.36852307898111,-8.09312749641935,1.22578984997911,-7.07685598762309
"meanslope",0.908228225504838,0.507421779496267,-0.092368489451675,-0.126143627666483,-0.397804330277425,0.5252013254335,1.11515263441289
"abs_minslope",0.800876832169829,1.70319217420314,0.646478712871383,0.484897582561854,-2.58665196027399,0.229954091248522,-1.24111684965418
"time.median",-0.765069477330341,-2.57292468132078,0.276404327319834,0.146849122118354,-1.65518440662174,-1.38032801205488,2.22675792609614
"time.Q25",-0.444066323288905,-1.8275595546167,0.846636969881433,2.21020839860475,-1.12389111971745,-4.07836468725564,0.713165497620818
"duration",-0.309634475583024,0.0344917980613705,-0.106913186522679,0.0506423048925204,0.18207735685853,0.212786518566069,-0.117092050469679
"sd",-0.244210046634958,-0.4806915001423,0.128910774630999,-0.0990033146040528,0.104421026830301,0.114523068987345,-0.0478727989426885
"neg_slopes",0.241915142866688,-0.00668991812140222,0.0344961473693989,0.036059922956115,-0.118358185279802,0.0165163623610004,0.0742956703950654
"pos_slopes",0.22838425335168,-0.0613842379592895,0.0683209230782089,-0.0353859010482956,0.0378269796427376,-0.103327557784365,0.0199016114911977
"skew",-0.19982693835468,0.282579007993586,0.0840944122118049,0.379873323499965,-0.14614353125302,-0.487417348449614,-0.240589382429037
"segments",0.194583819752846,-0.412855549931767,-0.566144189302641,-0.544407386918904,-0.00347561462382003,-0.693477194031669,0.376243594986164
"minslope",-0.189177083149502,0.0853826771754289,0.0567438724010116,0.100810811010159,-0.0219753777092167,0.0620730044855629,-0.0219211581448023
"time.IQR",0.137454554318516,-0.491957430071319,0.788546895108355,-0.00779304707097415,-1.54424282531291,0.282565186010681,1.21131588035435
"maxslope",-0.132710390799145,0.0168454903109656,0.00640601216227767,0.0280091298698374,0.0129380471563718,-0.0217489095664191,-0.0145105779580183
"peakf",-0.113535739614843,-0.0964917452630729,0.0609216487253736,-0.0158079990635669,-0.0554041030001374,0.0737664410608165,-0.0181009817130417
"turns",-0.110780433993515,-0.0566712463107509,0.101397717932044,0.135708074324065,-0.150022630192369,-0.0145354836747753,-0.255644657919454
"time.Q75",-0.0850573723007768,-1.16025455464353,0.966972611230408,0.941453221500779,-1.66470984676745,-1.53176762576504,1.23361518320546
"modindx",-0.056424045460354,-0.0029402857149841,-0.0432166302835825,0.186783566294297,-0.19451327742324,0.000704533535758861,0.0592252230619474
"freq.Q75",0.036821485244556,0.0691143946953935,-0.0101917671967401,-0.0262018585237491,-0.0187249639209014,-0.00829344533233949,0.0335951103901872
"freq.median",0.0366469787258398,0.0307770307773065,-0.0117599692302827,-0.0113383309226253,0.0341527961504179,0.0105206537582655,-0.0124296251804869
"mindom",-0.0319700045560687,-0.0431393623576458,0.0302359953085136,0.0024486533165063,-0.0497318863608053,0.0313918482933374,-0.0587398639958527
"freq.Q25",0.0292474138424279,0.0433677786888534,0.0222300694267437,-0.0646839093967946,-0.0502296774963588,-0.0192038628007723,0.0134037976617989
"freq.IQR",0.0210035914473193,0.0456744478004201,-0.0222530538553834,0.00883699675903069,0.00848576662591258,0.00210864298445564,0.026362826590918
"startdom",0.0207287200240042,-0.0311012311627444,-0.0264895253121084,0.0378558859835821,0.0185521470907052,-0.0201619303364253,-0.0373433246528351
"meandom",-0.0140517282244224,0.0160983975465761,0.00977980233064238,0.00509792115097236,0.0798560243019257,0.00193624277558429,0.0876564019716681
"meanfreq",0.0136035721479897,-0.22978084819804,-0.116168820493837,0.014399011652276,-0.0953176214337654,0.106128572704621,-0.140097649966365
"kurt",0.0028163509308634,-0.0108147481479756,6.63642704583628e-05,0.00508989889190094,0.010779175852306,0.0270897848255576,0.0275086720317411
"maxdom",-0.00188891822723095,0.00547548836052483,0.00252571827058209,-0.000698457103147675,-0.00810452792018878,-0.0102534994843203,-0.0149220510083946
"meanpeakf",0.000902411956856344,0.00019335182597068,0.00217609253952386,0.0104958220199465,-0.00177223541517327,-0.00223034053373285,0.0131938839518287
"dfrange",0.000303563600783334,0.0086672562621929,0.000473646611000351,-0.00089089732168394,-0.00484414858143591,-0.0127583661478786,-0.0112266486121684
"enddom",-0.000243938390265428,0.00620099678804868,-0.0233076390980451,0.0074320453358787,0.00971420690050178,-0.0250165743789616,0.0249455329540252
"dfslope",1.17130738327552e-05,5.24918146501407e-07,1.17196746826603e-05,-1.51194919298435e-05,-0.000114844188090716,4.17800861434222e-05,-0.000176743069837394
